node,total_fee,capacity,routed_payments
312,2048,38000000,2
238,2048,24000000,2
1278,1024,14000000,1
2098,1024,18000000,1
1033,1024,4000000,1
1034,1024,18000000,1
1552,1024,18000000,1
2331,1024,12000000,1
1216,1024,28000000,1
47,3072,26000000,3
1764,1024,18000000,1
5545,1024,4000000,1
10239,1024,4000000,1
935,1024,4000000,1
3727,1024,6000000,1
129,1024,18000000,1
188,1024,46000000,1
6470,1024,6000000,1
1172,1024,6000000,1
6018,1024,6000000,1
925,1024,6000000,1
2378,1024,8000000,1
2359,1024,6000000,1
1455,1024,16000000,1
1184,1024,8000000,1
4282,1024,4000000,1
3119,1024,6000000,1
2369,1024,4000000,1
631,1024,10000000,1
1358,1024,10000000,1
930,2048,10000000,2
1007,1024,6000000,1
1330,1024,6000000,1
269,2048,18000000,2
1153,1024,10000000,1
184,1024,48000000,1
2293,1024,4000000,1
1656,1024,12000000,1
765,1024,14000000,1
395,1024,10000000,1
383,4096,20000000,4
693,4096,16000000,4
1255,1024,4000000,1
482,1024,18000000,1
1831,1024,12000000,1
752,2048,8000000,2
4101,2048,4000000,2
1125,1024,16000000,1
808,1024,10000000,1
5315,1024,4000000,1
39,1024,34000000,1
2270,1024,12000000,1
3785,1024,6000000,1
757,2048,8000000,2
64,1024,20000000,1
301,1024,34000000,1
586,1024,8000000,1
48,1024,6000000,1
759,3072,12000000,3
850,2048,22000000,2
5842,1024,6000000,1
575,1024,10000000,1
10242,1024,4000000,1
49,1024,6000000,1
239,1024,36000000,1
1364,1024,8000000,1
450,1024,18000000,1
424,1024,6000000,1
15,2048,20000000,2
1445,1024,22000000,1
1449,1024,4000000,1
1594,1024,10000000,1
2435,1024,18000000,1
1021,1024,12000000,1
795,2048,20000000,2
661,2048,8000000,2
544,3072,16000000,3
1469,2048,8000000,2
172,2048,18000000,2
1856,1024,18000000,1
2669,1024,6000000,1
1606,1024,4000000,1
223,1024,30000000,1
559,2048,12000000,2
2651,1024,8000000,1
392,1024,24000000,1
1132,1024,8000000,1
478,1024,4000000,1
1030,1024,24000000,1
8289,1024,4000000,1
154,1024,20000000,1
1134,1024,10000000,1
7132,1024,6000000,1
698,2048,8000000,2
1778,2048,6000000,2
5411,2048,4000000,2
887,1024,10000000,1
1822,1024,6000000,1
7080,1024,6000000,1
567,1024,12000000,1
313,1024,20000000,1
960,1024,22000000,1
7390,1024,6000000,1
4831,1024,8000000,1
1356,1024,6000000,1
2760,1024,10000000,1
2229,1024,8000000,1
376,1024,8000000,1
826,1024,6000000,1
1982,1024,14000000,1
614,1024,10000000,1
9304,1024,6000000,1
1215,1024,28000000,1
2295,1024,6000000,1
1229,1024,12000000,1
1977,1024,6000000,1
787,1024,10000000,1
679,1024,14000000,1
3704,1024,8000000,1
1531,1024,4000000,1
1419,1024,4000000,1
1802,1024,6000000,1
2671,1024,14000000,1
837,1024,24000000,1
622,2048,12000000,2
7211,1024,4000000,1
5598,1024,6000000,1
340,1024,10000000,1
158,1024,10000000,1
72,1024,34000000,1
1397,1024,20000000,1
1854,1024,20000000,1
147,1024,6000000,1
4136,1024,6000000,1
753,1024,10000000,1
145,1024,10000000,1
104,1024,12000000,1
408,1024,4000000,1
1024,1024,20000000,1
