node,bc_standard,bc_ppm,bc_base,degree,exp_cap,avg_ppm,avg_base
02b8c064254122387ebebaf755823a4dcccb9c0863e276147181f3e897b7557387,9.615663272704935e-05,3.1665414459085584e-06,0.00015380858627935242,76,120781500,27.473684210526315,0.0
02de5965c0de62f0a3a6464b7c1848510661d43df96caba5e868ed7520cc3fa437,0.00029070035419376895,0.0014378890857510843,0.000546434086280307,100,151603424,35.22,80.0
034a879c36f418cb5b44b6903b3c6c1cfb5f4beb1e79b9b479c040b7df9cbc56be,0.0020942945933603184,0.0007070670769945854,0.004218424058702343,274,745432998,186.1824817518248,0.0
03dab87ff8635982815c4567eb58af48f9944d11c56beb12b91e1049aaea06e187,0.001753655974786006,0.0007203657766189325,0.002453678130537506,186,1160212816,12.551282051282051,0.14102564102564102
03dc686001f9b1ff700dfb8917df70268e1919433a535e1fb0767c19223509ab57,0.005886877939626553,0.041522821973835854,0.010532861651649253,480,2718546034,151.55844155844156,0.0
0294fd62bc6f4ad2804dfb01237baaf8b8dd5646cf60639e6586c5a1d9d4ed01f4,0.0021271519365312027,0.0,0.0,220,594227321,878.9150943396227,1000.0
0211ebcabfd47de3de259d54c06fbcb7b4cbe58a95277c42f818752ab2e4925032,0.00039145142152329117,0.0,9.357699700905485e-05,98,149031050,160.6530612244898,775.5102040816327
02789a937b21d46a4d0fda71f756aa25639ab995ef867704ebcbc5551cb943be80,0.00019399454890811459,0.0023504630616528327,0.00042645013965601574,74,86835991,79.86486486486487,0.0
0299797daa21faa6e4151517b286c41d4c7a8cb21fbfba59ca3bcd21a9f8392bd4,0.003633814469869559,0.009827715898795287,0.003358643030474495,350,1414592628,56.1144578313253,656.6265060240963
03d607f3e69fd032524a867b288216bfab263b6eaee4e07783799a6fe69bb84fac,0.007069851113424315,0.007980431724909932,0.0,502,8713234849,152.01149425287358,1000.0
0232f4c09bf0a9a1c19c68d4b22ebe0377bbbfc240e62afaee824d9355cd52eab9,0.00011694573705594473,0.00016013648247078418,0.0003430204571849103,62,94300000,113.83333333333333,0.0
