node,total_fee,capacity
03355e6b094ea452ea33a453503d19581778f784af4558c1ba620a5aec9de0e40c,2334,582939540
03bc7082669479e1caf3c0327a3a2f8f6eccf3c310ba214922b520ed9d492f075a,139,96300000
02f5c3900821c8245d7a8991a39188060da0f65e6133a9ceb0415e09ed572255e1,27,6200000
03691d4dc8789455bf9241b9f808aaca92099851b1db92f4031e2ae997f3eea711,120,191205641
02258a9aa9463749bf729511af78b1ea339ecdb36b37a6e18a8c8caa895228bfcb,450,34147956
02fa5c81d1d41e8d8001e6169fe454441360cfb876dc6c5b82fb5d20c0da5b9a51,1205,2020000
03aafb64bdfb314cbd62038a037260bce8655f461a2c187454a9845585fb17360e,250,2490000
0390cc12f782259427bdc45a283705f4c20ccbdff064ed43f6b74fefcafe9eb1f7,800,344921993
02c10ada6c6bed574f216d4decb799743921da2ed13dc51c410bc9559c1f90acb9,50331,1350052261
0390b5d4492dc2f5318e5233ab2cebf6d48914881a33ef6a9c6bcdbb433ad986d0,50,3565594892
034ea80f8b148c750463546bd999bf7321a0e6dfc60aaf84bd0400a2e8d376c0d5,1000,11755974355
02a04446caa81636d60d63b066f2814cbd3a6b5c258e3172cbdded7a16e2cfff4c,987,2064657676
032d5ca945dc4887bc9a026f44d60c881595023e3d7e66db803ff86c3b3c09da1b,241,42275167
022eae8c2a9a8b02dec48e793dbd95ba322cbcfc84ddab573c1a85512bfc4ad7a7,256,686884049
025843a1003ad858702313b9435f00b8996a9b6e078bb7365e54f4537e944d3be4,305,225964889
0337d0c749f89d24e75427e1fec4ce2ed4f7d5a38c2196bc69825aa9e439696ec4,8018,6500000
020d1943a436218eddcda48a4356a7f2534de55fd8900b88615783a4e900199fa2,1751,59000000
0369e07f979c2ae194cfc350b2c6612fc3017596623eada02c60f500b43828c17c,150,92253223
03aed3b0e1065d96557613c4dd72090ea295cd18c29ba5e84b8aedff9c2b4bdb58,2,22674263
02489368e779854165517c9d88e977c7e2e90e4836bfeb63186b79cc015f00700d,2189,140450000
0244d74bb48a614efa4264426db51c6bbd00aaf98b44ca9a82bd3a61948366400b,6650,24000000
03ae9f91a0cb8ff43840e3c322c4c61f019d8c1c3cea15a25cfc425ac605e61a4a,494,167547862
0215bea618806194ad88b80de8bc11c6391edb2fa1beeea6174305856596faeee8,2373,181855879
02ec20f34bb94460f3d63780dfc24a4d4a1ddabc3bd86c09e1830c5b5db08953e5,3869,321686409
032434517e28f7b51665a525d5e11fa493bd4e30a59883b8156c2be4085f4aaf70,2431,581372409
03e8b9a977fa3ae7acce74c25986c7240a921222e349729737df832a1b5ceb49df,2012,464081965
027d713762a1ddf092bdf4139b695cbf71ce883f9a712409e950a8cc6d65d3c578,4029,50100000
021d737b1cca2f7a67498a368f2416835a13332c98ccbe7a38bb66a66b26123933,2000,42462774
03e74b800bc6d4f9e7c1ec662d8070b98723f9f9bccf35b46524fa67198470d1a7,157,2010000
02953d7bd849ff299ba88cae3a3717cb2a63dd48bb6622f76ab49a86f8367b1876,0,1000000
02491fdffd8ea6b8fe1faf28d73d69ea583a1ed8645f51c990f76fa36d8c6bdffc,9015,13060000
02c945c0c8431af2a6e182b62f7cbd3896a45784248be73791faea505361309b97,290,49167625
0336f76c8d1209135699fb1aa3db07634c361c4482210111285234eb28b398fe2d,2234,163018062
02f3069a342ae2883a6f29e275f06f28a56a6ea2e2d96f5888a3266444dcf542b6,1507,767030817
0311edbceea21b34be1c33df0fcebeaebc4061ba4212146ac46134c487a44d4450,5995,329767494
02e12fea95f576a680ec1938b7ed98ef0855eadeced493566877d404e404bfbf52,924,106955551
03fc8aaec61b42da62e36f5473623ca9b91285d7af62c6189d14bcf84c549d473b,177,755057063
02a0c9089ace681ef4e6ae5310b028d9c2a09187bfbc616da6251e3d08801851b8,7590,1287494533
0381606ef9e77a89698e4a6b22b8859691bd8c2c5d115cc7f757f64a2a8011aaa6,1620,104075744
0242d067fa50d0cc9151317593d22a7abb6d97fb0fedd8b95ad346a51662789819,30000,5680000
022e18161df991c74b077fdcb350e242d8003c8eb91f36bb5fff075807d0dd3095,60,58933535
02c73c8ac3f37bb28d9fc3819dc17baecdf24b137d476a2a9e22395d490d842bec,1430,545146592
029221ee9b72b7b1be2cb09610839bef2ea286ba1d7da9fc184731abb789a8fed0,3287,137630000
021c3ec6432d2b9b5abcb01dd64b3a8f2afe3ba7d8c021f63ffd0a994cd3bc9b88,300,142901000
0290b992ad57328eccde9d51056ceae671de6f73cce6925972b2d11d2572ee3c5b,7581,869336403
026e44acf41fcfa19d092a297a7e8452f6ac5eee677ed0f7f2e5d4c7c632467224,1676,220125264
0352b33f5908ac29d9da5ea87b5af9ea4c82331157260245506ea4972252be0aa1,2000,52600000
035fed4182fbd0725264f8a0018cabb6b25514dd231291162ac8dd63afb278e9e8,255,271952035
0249203609e29e4bd54d336b62f4ca138a4d6f18e61e4a8feb51af1d3c4b88848f,0,1796338
020ef33d350f9da8fe23ee6d215c1451cd8b96fc4acd46fdbe2e5368b6400c0013,147,19273991
037f66e84e38fc2787d578599dfe1fcb7b71f9de4fb1e453c5ab85c05f5ce8c2e3,870,533353939
03ecb3ee55ba6324d40bea174de096dc9134cb35d990235723b37ae9b5c49f4f53,400,24658333
02a786c0a016c408b56cb877bfdeecd2188bac7600db70055755b085b1518c922b,27,5302323
0369a6185476b5d0372f526bc99d7614ff83fc0bfb11821b6e3c978ee64bcc865c,2319,424215540
0248d273fcbd5fe2370f2eeb6a48c2db16c864bfe1051ca78e2da7624d1747c039,450,14659157
02b103f2cfb227cca4a0ba76d0ba102e31b85df92976a3d6541f47f5abf84b5944,262,226512873
024d07b3408c35e03983f6a6c02d3e70c14f5a00ebc49c395342aee6e64d02fe41,2502,393873649
02e0c2101734bb6e769e8047ccebad46c4408a432fda7c039fa384697206629a90,1,95773386
03dc8f04a944b498caca1bd666d09184d5a180a50818316ea447508a5940800b40,5059,69227342
023a62502d52254abc2cce455ff8690b5664fd3f9502d6c3e0b5911a14aebf9c59,1000,11086500
028e748c8f24acb985cd428eb072d3d71d1a692acd38a4d22b14fb7e6bf6513f33,2152,66851989
02b5f3e88669447327c68c96a8fbfc744a286b12ab514cc634e0b3db4b99693650,200,22142443
03d80f73824f7a881f4b3db3553b111d5defb99f6a8ab504b6e92723b335835b13,1019,136227324
034a879c36f418cb5b44b6903b3c6c1cfb5f4beb1e79b9b479c040b7df9cbc56be,13195,1378391145
02d4dc96f2a7c9e08263bd6476e78e9333b29e25cfeb9765bff69a2c1dc8b962db,1,12000000
032de5c0f28f9d7d10c0c0b5ec92e83f9bf40def2bf40181c0f4330c57e58a8605,2,3050672
03f3c108ccd536b8526841f0a5c58212bb9e6584a1eb493080e7c1cc34f82dad71,1367,53735678
03a465772d45616bf6c8450a69191db8f3cf8cca19ff92138735fd5f1d436fe4dc,10102,586760253
022926ac1f1f472e669b1802488f5acfa75adf2020cec28e199e4c61f6485e8b41,3,590464427
0294e9ad2727d623fb22870e32f167d4d014e2f7adccb0926802f0bd4d17959093,1890,210500000
03641a88d80a2a85bbecd770577aca9b5495616e9fef63d66ef2631b7cca1d395d,273,120365299
032419161f0505a955c4025e90eb441f5cf5b103a99b9f2cde2965fb80e6b29d8c,500,351703563
03154d3bbf93e06dedc34f41c5096c436849b1470210f4a30151093437d9173ce7,119,86226325
02bb5b3f1157388dbca0f5dc675e7dd73ed8b3052a2beff293ccff20702f660b7d,422,647735246
0329c723f13525de7e67a8130243c4a214d6693d84c910c01ed9127b7230d709e9,400,16435000
03f2f3b5ac54d7b4fbecc0978888b66fe318af6595b6344ba7a2368e61075ffc98,2681,745205600
03ae5e2427a98d54c2509010a78274c87952c3d024ec03ed63d3ff093d4dc7304f,1001,97747930
02efdb1d6c10295195272ee896c9eac3c55fa1f0ee0250a86dfcf0af102ab55939,100,5086663
03ffffc58edad996d41937802364d6f1b84e448ace0d53e96530f634c20864d834,102,30490000
033533e2db6311c1d417d41279c067d8713ad8a7d577a0d91e65df2f6a82c5b862,792,811496380
03d99f8106999868426f12471e4aa008c3e920094ceb14438b89ca13777a11e370,0,4100000
03c0c47d7ef797e39f69d2dc7b1b6fe1c977a45521ec6cd6a57a86706b6c2749cf,256,49157806
02e1f391c9f3420fcaf65d45b615ab53034bd4a090036ddfb5703f6825b3b2bb4c,3237,126529920
03d6f80df785288de2fe5de19f24ba8a1db3d20647a88d0a903be9de3e7bb8fce1,40,518513784
03559ec8cc1a0bb71b540c29ba87ba82c17b068ca77272acbd68a1ff7c8b429df4,10075,29863112
03f14237bb08f0afcb1ea07eff6b0b41e79294e66888971cccf1f585f5e21bf8f9,2,7615000
027235b3dd1f0e47c58f75bcc4cbae9e2212c0bf672401532079c2b6e0eaa26285,700,28000000
0313118036b611e729633e125cec1a911b9d0de42a676781b8c0940926726f685a,1070,121002041
03321f928fbc083cf4c6fe1cbc81e80f455f9a8a41de1cb4208e202647f934c26a,150,9820000
0200cf174ef5c6abbdd2f8ab87d1628c83a99a309266465e9c7cde14fb6d5882a9,365,363736667
03c539a7b630001d2f324a487b949b4c294e9de0e05bc7f9c6e85af841af263cc5,9600,125822147
03bc56c4c4c9ef2fadee2e77f1917d4618d5dc16ce9b5343e6fe023af6df2dd9bf,2000,322109365
03362a667af0c8e2165410a175d8c4a381b00fda687e7f91c08909570c7ececc84,800,8500000
02e41b4c2f51a2edf8ddf855b93aeea40b53dab069345713fcf3a19d090cf4e2cc,3000,2506761
038cc790ec91920fd4a0d82ce190d4a4af192a457b9127779e6b1ef52a5721db52,2045,123354948
02e440f78d01b317eaeae52e5af6fc501381b8867069c5a9ebaae293bd5ce3fa2a,369,91520000
