node,total_fee,capacity,routed_payments,ratio,ROI
035d6f5b496f0a8bd3a05fb40b8bf7423afed11a8f2671a1980f6911b1be1685eb,4500,359566603,3,1.251506664538586e-05,MEDIUM
035352d5960c7f86263e079f29707144088709332e781246b306370ca7e0a64183,2020,354499895,2,5.698168119344577e-06,MEDIUM
02343c19a39dd11cfc6f7571f36213dd52fb70ee45ee4074913d43891fb59579b5,2160,353919492,4,6.103082901124869e-06,MEDIUM
03e9c99fddf5aaa60e22c166622206947b1fb14ae2926f550f837af6aa83556bb8,1310,337489529,3,3.88160190889952e-06,MEDIUM
025e9497188d33af48bb15cfc3cd6d7c549eed05b5f54d45615d3cb7ec3b562588,2700,326000860,8,8.282186740243568e-06,MEDIUM
02a98e8c590a1b5602049d6b21d8f4c8861970aa310762f42eae1b2be88372e924,2020,292642984,5,6.902608674876005e-06,MEDIUM
03d6f80df785288de2fe5de19f24ba8a1db3d20647a88d0a903be9de3e7bb8fce1,2500,264348751,6,9.457203752780355e-06,MEDIUM
02b0172bb38617fa3afdb69664468b492d5a21062a4fa8b47284b0cc320e6e7420,1009,253435374,1,3.981291104216572e-06,MEDIUM
02d695b01c7a6909e716c863fb39bc5fb7bbdc3824b7fdce53adc593e5be080e73,1100,246827756,1,4.456549043860368e-06,MEDIUM
02bb10aaa77a95a358cebb2d112c4de00e47c08f56e89b1acb4487ddd44cc98d6d,1260,239722607,10,5.256074993377659e-06,MEDIUM
0381499873090f47c7f857b90a91a5de4708054b5966904e0623023c9a5ad0e8a1,2030,238085516,3,8.52634815466893e-06,MEDIUM
030f2c70ce2e9a0aa20457f0e26be4f768f5e0e5b12ae81e5814145f52ecc6d1ec,2020,237233712,2,8.514810070501279e-06,MEDIUM
0251fff168b58b74e9b476af5a515b91fe0540a3681bc97fbb65379a807aea5f66,2000,234100921,2,8.54332392823008e-06,MEDIUM
03d28ac32e13a26bc2bc4c2e24adde07d8db2c27557de8047767e41537304bc64d,3180,225875626,11,1.4078544269313944e-05,MEDIUM
03820714a3f891c7c3ae5e00dbdd77f06ceccc24ddd8c99fadef13ec2eec462cce,2071,215969523,8,9.589315988811996e-06,MEDIUM
02de9990c589cef2745e70d78a767eb2a787fa65a0e1346a1c34f85b5b077074cd,2200,209249998,2,1.0513739646487355e-05,MEDIUM
02f273ac65a8a826f88e6c48e5ba44f2eb2ee63486350b2db6f60a408b1e0ceb05,1010,200300000,2,5.042436345481777e-06,MEDIUM
026db2cbf3d8ab4a4c01eed2df432d20cf0a13136402097574209d2595cb9e9d93,2030,194440560,2,1.0440208565537972e-05,MEDIUM
02ceb27f3d4e32b83f37dff8bad8cc802dc0f380ca0193e90514ae25bc32c7542e,2140,193554428,6,1.1056321584128264e-05,MEDIUM
023c51202ba27f056e64fef0baf37baa0334deea8b8f0c2503eb51e55c80db907e,1030,184914612,3,5.570138502629527e-06,MEDIUM
0340f8fa6bc058df204691bc1c965de041e550d8ef0512d22007d4cab7ebd7a536,2020,183113069,2,1.1031435446041263e-05,MEDIUM
03a09f56bba3d2c200cc55eda2f1f069564a97c1fb74345e1560e2868a8ab3d7d0,1260,175656305,3,7.173098625751009e-06,MEDIUM
032d31a00d3c5bf2dd60353078d689d40afd73ac6080b0af2dfecb3007cc376e5a,1010,157269228,2,6.422108207970602e-06,MEDIUM
03120e72271aae5504c052011ec9bf28217534448406582f9f154f67a637c4e145,2020,156598390,2,1.2899238619247618e-05,MEDIUM
03c2b5e97173e2ff7baea106a34a165e0213b6c5148441ea97785b35a78a506299,2000,145322189,1,1.3762523216602524e-05,MEDIUM
02c30502153f7a86eac9874639fd0acb101dd99a84b720f013e1bf605118cb1940,1010,143557541,1,7.035506410631539e-06,MEDIUM
028ed7bd6ba6763cf040869681890bf5bf95d623108a60e75d76a57f5d637be3ef,1010,140000000,2,7.214285714285714e-06,MEDIUM
021ecaf18c177e308009b9bdbf0d6784536e027759f797d64300787a24e6528a7c,1100,128108731,1,8.586456140916734e-06,MEDIUM
036cedc221ce41dc4ecccfff6a560d287cfee90618340c5f40125511cf679173d9,1289,116684722,3,1.1046861816236748e-05,MEDIUM
030057ffea1a1650ce716aab702c9fc29ce24659b89650eb963f2455df0194c997,1010,105998987,1,9.528392945868436e-06,MEDIUM
032419161f0505a955c4025e90eb441f5cf5b103a99b9f2cde2965fb80e6b29d8c,1110,99938607,5,1.1106818809271576e-05,MEDIUM
02d419c9af624d0e7a7c90a60b9ffa35f4934973a9d7d3b4175cc3cc28b7ffcde1,1010,99338706,1,1.0167235317117982e-05,MEDIUM
022eb09a7993a0edde69537b420f4119c0de833e0ee47651753b46bf884db75235,510,98940107,1,5.1546336007095685e-06,MEDIUM
02584a68b60caf391e6147d0199ee6d1db73abc3d4fb3206e9b99178458d29b859,1000,97891481,2,1.0215393513149523e-05,MEDIUM
0232f4c09bf0a9a1c19c68d4b22ebe0377bbbfc240e62afaee824d9355cd52eab9,1309,94300000,3,1.3881230116648992e-05,MEDIUM
02651fa5f3f6676c6f13d88b3ffd3101421cd3bd1773d4af92242c46f0f902ef39,926,91228463,1,1.0150340908407062e-05,MEDIUM
035dcde9122bbac5048443c29a21c77ced865340767412f6e76ed3cae4cc45c609,500,87823159,2,5.693259109479311e-06,MEDIUM
025843a1003ad858702313b9435f00b8996a9b6e078bb7365e54f4537e944d3be4,1000,76567622,1,1.3060350757660986e-05,MEDIUM
03cc1d0932bb99b0697f5b5e5961b83ab7fd66f1efc4c9f5c7bad66c1bcbe78f02,1010,76160826,1,1.3261410794047849e-05,MEDIUM
021607cfce19a4c5e7e6e738663dfafbbbac262e4ff76c2c9b30dbeefc35c00643,330,72612824,1,4.544651782170048e-06,MEDIUM
0379221a4051d4171490e43e4a09e218a02941f06996b71cd814b290da08ad5f7e,1000,69926349,2,1.4300760933478735e-05,MEDIUM
