node,closeness_pickhardt,avg_ppm,avg_base,bc_ppm,bc_base,degree,exp_cap,bc_standard,ec_standard,median_base,median_ppm,closeness_standard,degree_2_hops,bc_capacity,bc_pickhardt,ec_pickhardt
033d8656219478701227199cbd6f670335c8d408a92ae88b962c49d4dc0e83e025,1.1629729920336489e-10,450.0086021505376,546.236559139785,0.03727238927749814,0.03805256752756154,465,38081460479,0.05001640510615232,0.14709675779400166,1000.0,1.0,0.651238591916558,998,0.03805256752756154,0.10693039398784221,0.010766290306555609
035e4ff418fc8b5554c5d9eea66396c227bd429a3251c8cbc711002ba215bfc226,1.162973084277827e-10,258.65384615384613,0.0,0.0060668782472670605,0.17213112061832453,624,6619676108,0.10808454076552391,0.16865026287562365,0.0,100.0,0.7244379985496737,994,0.17213112061832453,0.0068023935759406705,0.004583917405917961
032a54b1e9cd2ff8ec5f58915a749cf074e957006e8b4da9c8497fed4b6c6f88dc,1.1629728754055227e-10,40.22222222222222,0.0,0.0005704680600886488,0.0003554084812037469,45,245401107,0.0001489438311998636,0.02994935130047925,0.0,5.0,0.5020100502512563,962,0.0003554084812037469,0.0011539595707932382,3.784805639661321e-07
03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f,1.1629731536053593e-10,511.00984251968504,994.0944881889764,0.0,0.0031447887928472743,508,18983452358,0.06695275594037983,0.14921324968467134,1000.0,499.0,0.6704697986577182,999,0.0031447887928472743,0.0,0.0032391705133234285
03e94e144ad749a1cb11972212267fac12c0abfe0ca5a33985dcece556e62a1443,1.1629727783320254e-10,161.64406779661016,0.0,0.0018671343039717459,0.0011609598545234065,59,193653365,0.0004793936327861589,0.03372417915538741,0.0,57.0,0.5055668016194332,962,0.0011609598545234065,0.00013440294001416245,0.003199518266307302
034a879c36f418cb5b44b6903b3c6c1cfb5f4beb1e79b9b479c040b7df9cbc56be,1.162972962461014e-10,186.1824817518248,0.0,0.0007070670769945855,0.004218424058702336,137,745432998,0.002094294593360315,0.07379070642377501,0.0,111.0,0.5328,985,0.004218424058702336,0.005857226632109731,1.7522186114270353e-05
03e6a611923bb01ac843493f21a7f7a33f4b8404974ba5fc56399ab752fe802a35,1.1629727430004894e-10,16.42222222222222,1000.0,0.001493852852263729,0.0,45,94265416,0.00048265450123304715,0.01494454010835414,1000.0,10.0,0.4892262487757101,910,0.0,0.002628379882888901,1.6352992948069648e-07
03bb88ccc444534da7b5b64b4f7b15e1eccb18e102db0e400d4b9cfe93763aa26d,1.1629729550822064e-10,873.9321266968326,1000.0,0.002075844365703637,0.0,221,965099606,0.008576895269543704,0.08567991365069332,1000.0,256.0,0.5581005586592179,986,0.0,0.0017816747943668455,0.00639372352087497
03d1e805c38257b713340049745ff5a15d9ee5d733517a1d48a956815c9482055c,1.1629730378645208e-10,667.5217391304348,400.0,0.004847521244511263,0.0,138,1237508990,0.0030633243952339017,0.06986975361294516,400.0,235.0,0.5342245989304812,989,0.0,0.00748477268183347,0.005321668165095533
034ea80f8b148c750463546bd999bf7321a0e6dfc60aaf84bd0400a2e8d376c0d5,1.162973173847739e-10,16.028301886792452,0.2830188679245283,0.00898827465847723,0.011103279687258681,212,6450526948,0.009350499263834236,0.07990125904330844,0.0,9.0,0.5556173526140156,987,0.011103279687258681,0.04502429886896807,3.0211782103505697e-05
022c260f9ad58196af280c80a96ec9eabf6404df59ff1a7553b0f381c875a29ba0,1.162973164541573e-10,14.4,0.2153846153846154,0.00038883895280643577,0.0015888852193682913,65,1171197015,0.001001175397376854,0.028761598046461643,0.0,9.0,0.5091743119266054,970,0.0015888852193682913,0.002562590990323672,0.0035997356361896194
027ce055380348d7812d2ae7745701c9f93e70c1adeb2657f053f91df4f2843c71,1.1629728765916393e-10,105.80357142857143,0.0,0.004106796464348351,0.003078287817819663,112,1152223505,0.0014286439729306523,0.05319134578962527,0.0,1.0,0.5233106338397067,976,0.003078287817819663,0.010925755414733371,7.80884637503339e-06
02b39b76e521ef420d232dc8bb2cd7599b06bf8732d91bb516ef7f1d86914145e8,1.1629725123026123e-10,640.0,0.0,0.0,5.556989622723616e-05,10,21125000,2.746789472500925e-05,0.0021380269396343863,0.0,1000.0,0.374859287054409,326,5.556989622723616e-05,0.0,3.98318468687081e-09
035360b3bf6a997ed1bb943ccca2b7ef969b1e25a1ee1322d3c8acca7e34468edd,1.1629726843154232e-10,3.6097560975609757,60366.46341463415,0.00020154504001427035,0.0,41,458325826,0.0004773617269338785,0.02071457213247856,50000.0,3.0,0.4992503748125937,955,0.0,0.0013465369176792023,6.946379436476268e-07
037f66e84e38fc2787d578599dfe1fcb7b71f9de4fb1e453c5ab85c05f5ce8c2e3,1.1629728934668247e-10,263.4173228346457,346.45669291338584,0.0021058877664537276,0.002034297984372292,127,446134192,0.001269172114911901,0.06750612049312799,0.0,197.0,0.5282919090428345,979,0.002034297984372292,0.0019969869669268464,0.004255363262064769
033e7e466c56c51f53723fb966674db881b5aae8907e22170d630fb1b149f55ee3,1.1629726579124593e-10,100.0,1000.0,7.856888284409996e-06,0.0,12,50072950,2.049451995310705e-05,0.007792101989733812,1000.0,5.0,0.46036866359447004,815,0.0,0.00014393150665695757,0.00212001971888116
02e4971e61a3f55718ae31e2eed19aaf2e32caf3eb5ef5ff03e01aa3ada8907e78,1.1629730390384529e-10,194.51209677419354,88.72177419354838,0.05819268605122968,0.012682646401739937,248,4157281766,0.008839440822804374,0.10387743647397926,0.0,0.0,0.5702054794520548,997,0.012682646401739937,0.09607936370039005,0.0074429796793741
0347814c910ae1624c1983d68331e0f8d543fa0d6f509c2fcb46d308cbc72b98a3,1.1629728490978619e-10,119.67857142857143,0.0,0.0001298711902517286,0.0004443248802469604,56,190524235,0.00030625419962623736,0.03620627012553703,0.0,12.5,0.5058227848101265,966,0.0004443248802469604,0.000540286445430066,2.2560709407567833e-07
038c5b2d6a0fe180d1be557d49f7f982190957edf20a4c05a305d7aed17c156ef0,1.1629726132965706e-10,57.142857142857146,0.0,0.0004982705734313142,0.00021290894383218275,28,71000000,0.00010012970535165254,0.012333784857157293,0.0,20.0,0.4605809128630705,800,0.00021290894383218275,0.0,2.8720451322907806e-08
03d29a2fc370cf011a743d893de86ab9a920f2445539ea46db2186d9b95183f67c,1.1629727251604128e-10,384.2857142857143,0.0,0.0031377067939224778,0.000864926512994215,49,77954192,0.00043917252351278395,0.023666507001703592,0.0,187.0,0.5045454545454545,968,0.000864926512994215,4.814433672149103e-05,0.0021428999082107715
033dee9c6a0afc40ffd8f27d68ef260f3e5e1c19e59c6f9bb607fb04c1d497a809,1.1629729723810169e-10,257.375,1065.675,1.3950289818449728e-05,8.325216821712134e-06,120,478895321,0.001928649943246101,0.0610474098942762,999.0,135.0,0.5266209804955192,980,8.325216821712134e-06,2.0060140300621263e-06,0.0010617143486154699
02769af77330d7fae47f7b8fa3de7677f39c000bbacc2b41aca51efcc8701f1ee0,1.1629729279952602e-10,210.76923076923077,0.0,0.0,9.467166155758203e-05,26,104753555,4.6260054504692014e-05,0.020292950927549586,0.0,40.0,0.4977578475336323,964,9.467166155758203e-05,0.0,4.429834646601072e-06
02f3d9e33a2de53e128ae1821f0cff02f7e8c9b6872d949f0ebb0c8e388bad82ac,1.1629729101155098e-10,87.37394957983193,0.0,0.0015206123624973357,0.012370847503270494,238,1144420100,0.0070997066834916625,0.10475361632858678,0.0,20.0,0.5666477595008508,996,0.012370847503270494,0.0011664971584811265,0.00319476748362373
03423790614f023e3c0cdaa654a3578e919947e4c3a14bf5044e7c787ebd11af1a,1.1629730349290811e-10,155.14666666666668,0.0,0.04431075794719493,0.02189569917668843,300,1468704568,0.014412484440563719,0.11808293348600961,0.0,36.5,0.5873015873015873,996,0.02189569917668843,0.049175260765107136,0.0021205799429229776
03a93b87bf9f052b8e862d51ebbac4ce5e97b5f4137563cd5128548d7f5978dda9,1.1629730596153675e-10,158.18072289156626,0.0,0.021162672422604608,0.004912228524208943,166,1393920424,0.002538739946164224,0.0838453196615918,0.0,54.0,0.5438214480130648,994,0.004912228524208943,0.04285272246194089,0.004243306740703513
0302536817c335e45bcd0b10b78fd06bc246609405d98eb64672410dce04f49e5f,1.1629728699191415e-10,31.666666666666668,11.904761904761905,0.010697450266152863,0.0024225810384139986,84,215242459,0.001268828880688116,0.039714466634469966,0.0,30.0,0.513360739979445,967,0.0024225810384139986,2.4573671868261045e-05,1.0665814783479315e-05
03d4e028a0d4a90868ec202ab684fb0085779defea9ca7553e06146557631eec20,1.1629728027823231e-10,276.4339622641509,961.3584905660377,0.0008473215121915308,0.0010342432368010447,53,164380735,0.00029311315425389423,0.027514920678705226,999.0,100.0,0.5020100502512563,954,0.0010342432368010447,8.024056120248505e-06,2.709301523982258e-05
031c7ecff228dfe6054307ee49c8616998af5f8d4436f13c07d211aeb6c0ec87f7,1.1629729848552121e-10,174.05185185185186,912.0,0.001916313947030965,0.0,135,720713510,0.002275803398970549,0.06715966862693126,1000.0,155.0,0.5330843116328708,988,0.0,0.003279582187397819,0.0021951504499062397
03ef1f35c48695828f614ac685fd5eead1005641cac453ed31052b0ef6cb959a60,1.162972907518265e-10,242.4747474747475,250.5050505050505,0.0004900012935683299,2.4078934427501076e-05,99,431391279,0.0012433783692034613,0.04894408693318418,200.0,40.0,0.5208550573514077,980,2.4078934427501076e-05,0.0017281810868985219,0.0010597673455194525
0293a4a5933422fa7cae2c8ff4c44490f26cf3dd7ac02b826ee20d4cba7dac944d,1.1629728709552503e-10,101.34831460674157,0.0,0.002760472285912458,0.0007881332427726321,89,310707227,0.0004871934357789458,0.05043677024754869,0.0,15.0,0.5160123966942148,972,0.0007881332427726321,0.0003766291341441642,4.101574924969037e-07
03dd09855c3634daa5c7de0146f4d54eb395b51ae422bc86ee1132a0d7ed50e720,1.1629730093657654e-10,108.75,0.0,0.00036984486016285656,0.00013067938366006997,40,480172530,9.074127306362071e-05,0.02665208395617786,0.0,75.0,0.4980059820538385,951,0.00013067938366006997,0.003630077416539229,0.0021274496095732977
039d38adaa66554f2079cea57149b85b55df35feb6a54a8bace32898558fea8a4e,1.1629731344317177e-10,327.9032258064516,0.0,0.0031636991883794608,0.02162230667631067,279,4225757269,0.01298583837949103,0.11245106380432421,0.0,200.0,0.5784597568037059,991,0.02162230667631067,0.010153373146025114,0.005352582008799586
020ca6f9aaebc3c8aab77f3532112649c28a0bfb1539d0c2a42f795fb6e4c363b2,1.1629728915775134e-10,148.02941176470588,0.0,0.00011856542753078565,3.733534567933655e-05,34,161138607,2.3830365669115736e-05,0.02613576461916915,0.0,34.5,0.4943097476496784,942,3.733534567933655e-05,0.0,3.606032590044126e-08
023d70f2f76d283c6c4e58109ee3a2816eb9d8feb40b23d62469060a2b2867b77f,1.1629729981461916e-10,4523.809523809524,0.0,0.0006572385571895336,0.0070140931919441,105,288730323,0.0029307073835764413,0.034076176381670875,0.0,5000.0,0.5208550573514077,974,0.0070140931919441,0.0002256765783819892,0.0010674361206249902
